quarks,B,S,J,status,dE
uddbBB,0.6666666666666666,0,3.0,Allowed,-85.548186
uddUUU,0.0,0,0.0,Energy,0.5391349999999999
uddUUU,0.0,0,1.0,Energy,0.787328
uddUUU,0.0,0,2.0,Energy,1.035521
uddUUU,0.0,0,3.0,Energy,1.2837140000000002
uddUUD,0.0,0,0.0,Energy,0.5391349999999999
uddUUD,0.0,0,1.0,Energy,0.787328
uddUUD,0.0,0,2.0,Energy,1.035521
uddUUD,0.0,0,3.0,Energy,1.2837140000000002
uddUUS,0.0,1,0.0,Energy,0.650969
uddUUS,0.0,1,1.0,Energy,0.899162
uddUUS,0.0,1,2.0,Energy,1.147355
uddUUS,0.0,1,3.0,Energy,1.3955480000000002
uddUUC,0.0,0,0.0,Allowed,-97.900865
uddUUC,0.0,0,1.0,Allowed,-97.652672
uddUUC,0.0,0,2.0,Allowed,-97.404479
uddUUC,0.0,0,3.0,Allowed,-97.156286
uddUUB,0.0,0,0.0,Allowed,-95.000865
uddUUB,0.0,0,1.0,Allowed,-94.752672
uddUUB,0.0,0,2.0,Allowed,-94.504479
uddUUB,0.0,0,3.0,Allowed,-94.256286
uddUDD,0.0,0,0.0,Energy,0.5391349999999999
uddUDD,0.0,0,1.0,Energy,0.787328
uddUDD,0.0,0,2.0,Energy,1.035521
uddUDD,0.0,0,3.0,Energy,1.2837140000000002
uddUDS,0.0,1,0.0,Energy,0.650969
uddUDS,0.0,1,1.0,Energy,0.899162
uddUDS,0.0,1,2.0,Energy,1.147355
uddUDS,0.0,1,3.0,Energy,1.3955480000000002
uddUDC,0.0,0,0.0,Allowed,-97.900865
uddUDC,0.0,0,1.0,Allowed,-97.652672
uddUDC,0.0,0,2.0,Allowed,-97.404479
uddUDC,0.0,0,3.0,Allowed,-97.156286
uddUDB,0.0,0,0.0,Allowed,-95.000865
uddUDB,0.0,0,1.0,Allowed,-94.752672
uddUDB,0.0,0,2.0,Allowed,-94.504479
uddUDB,0.0,0,3.0,Allowed,-94.256286
