quarks,B,S,J,status,dE
udcccU,1.3333333333333333,0,2.0,Allowed,-94.478279
udcccU,1.3333333333333333,0,3.0,Allowed,-94.230086
udcccD,1.3333333333333333,0,0.0,Allowed,-94.974665
udcccD,1.3333333333333333,0,1.0,Allowed,-94.726472
udcccD,1.3333333333333333,0,2.0,Allowed,-94.478279
udcccD,1.3333333333333333,0,3.0,Allowed,-94.230086
udcccS,1.3333333333333333,1,0.0,Allowed,-94.862831
udcccS,1.3333333333333333,1,1.0,Allowed,-94.614638
udcccS,1.3333333333333333,1,2.0,Allowed,-94.366445
udcccS,1.3333333333333333,1,3.0,Allowed,-94.118252
udcccC,1.3333333333333333,0,0.0,Allowed,-93.294665
udcccC,1.3333333333333333,0,1.0,Allowed,-93.046472
udcccC,1.3333333333333333,0,2.0,Allowed,-92.798279
udcccC,1.3333333333333333,0,3.0,Allowed,-92.550086
udcccB,1.3333333333333333,0,0.0,Allowed,-90.394665
udcccB,1.3333333333333333,0,1.0,Allowed,-90.146472
udcccB,1.3333333333333333,0,2.0,Allowed,-89.898279
udcccB,1.3333333333333333,0,3.0,Allowed,-89.650086
udccbb,2.0,0,0.0,Allowed,-87.556565
udccbb,2.0,0,1.0,Allowed,-87.308372
udccbb,2.0,0,2.0,Allowed,-87.060179
udccbb,2.0,0,3.0,Allowed,-86.811986
udccbU,1.3333333333333333,0,0.0,Allowed,-92.074665
udccbU,1.3333333333333333,0,1.0,Allowed,-91.826472
udccbU,1.3333333333333333,0,2.0,Allowed,-91.578279
udccbU,1.3333333333333333,0,3.0,Allowed,-91.330086
udccbD,1.3333333333333333,0,0.0,Allowed,-92.074665
udccbD,1.3333333333333333,0,1.0,Allowed,-91.826472
udccbD,1.3333333333333333,0,2.0,Allowed,-91.578279
udccbD,1.3333333333333333,0,3.0,Allowed,-91.330086
udccbS,1.3333333333333333,1,0.0,Allowed,-91.962831
udccbS,1.3333333333333333,1,1.0,Allowed,-91.714638
udccbS,1.3333333333333333,1,2.0,Allowed,-91.466445
udccbS,1.3333333333333333,1,3.0,Allowed,-91.218252
udccbC,1.3333333333333333,0,0.0,Allowed,-90.394665
udccbC,1.3333333333333333,0,1.0,Allowed,-90.146472
udccbC,1.3333333333333333,0,2.0,Allowed,-89.898279
udccbC,1.3333333333333333,0,3.0,Allowed,-89.650086
udccbB,1.3333333333333333,0,0.0,Allowed,-87.494665
udccbB,1.3333333333333333,0,1.0,Allowed,-87.246472
udccbB,1.3333333333333333,0,2.0,Allowed,-86.998279
udccbB,1.3333333333333333,0,3.0,Allowed,-86.750086
udccUU,0.6666666666666666,0,0.0,Allowed,-96.602765
udccUU,0.6666666666666666,0,1.0,Allowed,-96.354572
udccUU,0.6666666666666666,0,2.0,Allowed,-96.106379
udccUU,0.6666666666666666,0,3.0,Allowed,-95.858186
udccUD,0.6666666666666666,0,0.0,Allowed,-96.602765
udccUD,0.6666666666666666,0,1.0,Allowed,-96.354572
udccUD,0.6666666666666666,0,2.0,Allowed,-96.106379
udccUD,0.6666666666666666,0,3.0,Allowed,-95.858186
udccUS,0.6666666666666666,1,0.0,Allowed,-96.490931
udccUS,0.6666666666666666,1,1.0,Allowed,-96.242738
udccUS,0.6666666666666666,1,2.0,Allowed,-95.994545
udccUS,0.6666666666666666,1,3.0,Allowed,-95.746352
udccUC,0.6666666666666666,0,0.0,Allowed,-95.072765
udccUC,0.6666666666666666,0,1.0,Allowed,-94.824572
udccUC,0.6666666666666666,0,2.0,Allowed,-94.576379
udccUC,0.6666666666666666,0,3.0,Allowed,-94.328186
udccUB,0.6666666666666666,0,0.0,Allowed,-92.172765
udccUB,0.6666666666666666,0,1.0,Allowed,-91.924572
udccUB,0.6666666666666666,0,2.0,Allowed,-91.676379
udccUB,0.6666666666666666,0,3.0,Allowed,-91.428186
udccDD,0.6666666666666666,0,0.0,Allowed,-96.602765
udccDD,0.6666666666666666,0,1.0,Allowed,-96.354572
udccDD,0.6666666666666666,0,2.0,Allowed,-96.106379
udccDD,0.6666666666666666,0,3.0,Allowed,-95.858186
udccDS,0.6666666666666666,1,0.0,Allowed,-96.490931
udccDS,0.6666666666666666,1,1.0,Allowed,-96.242738
udccDS,0.6666666666666666,1,2.0,Allowed,-95.994545
udccDS,0.6666666666666666,1,3.0,Allowed,-95.746352
udccDC,0.6666666666666666,0,0.0,Allowed,-95.072765
udccDC,0.6666666666666666,0,1.0,Allowed,-94.824572
udccDC,0.6666666666666666,0,2.0,Allowed,-94.576379
udccDC,0.6666666666666666,0,3.0,Allowed,-94.328186
udccDB,0.6666666666666666,0,0.0,Allowed,-92.172765
udccDB,0.6666666666666666,0,1.0,Allowed,-91.924572
udccDB,0.6666666666666666,0,2.0,Allowed,-91.676379
udccDB,0.6666666666666666,0,3.0,Allowed,-91.428186
udccSS,0.6666666666666666,2,0.0,Allowed,-96.379097
udccSS,0.6666666666666666,2,1.0,Allowed,-96.130904
udccSS,0.6666666666666666,2,2.0,Allowed,-95.882711
udccSS,0.6666666666666666,2,3.0,Allowed,-95.634518
udccSC,0.6666666666666666,1,0.0,Allowed,-94.960931
udccSC,0.6666666666666666,1,1.0,Allowed,-94.712738
udccSC,0.6666666666666666,1,2.0,Allowed,-94.464545
udccSC,0.6666666666666666,1,3.0,Allowed,-94.216352
udccSB,0.6666666666666666,1,0.0,Allowed,-92.060931
udccSB,0.6666666666666666,1,1.0,Allowed,-91.812738
udccSB,0.6666666666666666,1,2.0,Allowed,-91.564545
udccSB,0.6666666666666666,1,3.0,Allowed,-91.316352
udccCC,0.6666666666666666,0,0.0,Energy,0.641235
